Batch ID,Entry ID,Entry Type,Super Category,Shipping Info,Dispatched Date,Product Cost,Agency Margin,Country
74079,28,New Product,Food,Shipped Full,2017-08-21 15:03:22,2.59,8.55,Portugal
74079,29,Variety,Food,Shipped Full,2017-08-21 15:03:22,2.59,5.15,Portugal
74079,30,Variety,Food,Shipped Full,2017-08-21 15:03:22,2.79,4.95,Portugal
74079,31,New Product,Food,Empty Packaging,2017-08-21 15:03:22,3.99,7.15,Portugal
74079,32,New Product,Food,Empty Packaging,2017-08-21 15:03:22,2.19,8.95,Portugal
74079,33,New Product,Food,Shipped Full,2017-08-21 15:03:22,2.49,8.65,Portugal
74079,34,Variety,Food,Shipped Full,2017-08-21 15:03:22,2.49,5.25,Portugal
74079,35,New Product,Food,Empty Packaging,2017-08-21 15:03:22,3.49,7.65,Portugal
74079,36,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,1.99,9.15,Portugal
74079,37,New Product,Food,Empty Packaging,2017-08-21 15:03:22,0.99,10.15,Portugal
74079,38,New Product,Food,Empty Packaging,2017-08-21 15:03:22,4.99,6.15,Portugal
74079,39,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,1.49,9.65,Portugal
74079,40,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,1.49,9.65,Portugal
74079,41,New Product,Healthcare,Shipped Full,2017-08-21 15:03:22,9.69,1.45,Portugal
74079,42,New Product,Healthcare,Shipped Full,2017-08-21 15:03:22,21.70,-10.56,Portugal
74079,43,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,5.99,5.15,Portugal
74079,44,New Product,Beauty & Personal Care,Not Shipped,2017-08-21 15:03:22,7.99,3.15,Portugal
74079,45,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,4.99,6.15,Portugal
74079,46,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,5.49,5.65,Portugal
74079,47,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,3.79,7.35,Portugal
74079,48,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,3.99,7.15,Portugal
74079,49,New Product,Food,Shipped Full,2017-08-21 15:03:22,2.39,8.75,Portugal
74079,50,New Product,Food,Shipped Full,2017-08-21 15:03:22,0.89,10.25,Portugal
74079,51,New Product,Food,Shipped Full,2017-08-21 15:03:22,1.99,9.15,Portugal
74079,52,Variety,Food,Shipped Full,2017-08-21 15:03:22,1.99,5.75,Portugal
74079,53,New Product,Food,Empty Packaging,2017-08-21 15:03:22,3.99,7.15,Portugal
74079,54,Variety,Food,Empty Packaging,2017-08-21 15:03:22,4.99,2.75,Portugal
74079,55,Variety,Food,Empty Packaging,2017-08-21 15:03:22,9.49,-1.75,Portugal
74079,56,New Product,Food,Empty Packaging,2017-08-21 15:03:22,0.99,10.15,Portugal
74079,57,Variety,Food,Empty Packaging,2017-08-21 15:03:22,1.69,6.05,Portugal
74079,58,New Product,Healthcare,Shipped Full,2017-08-21 15:03:22,1.69,9.45,Portugal
74079,59,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,3.49,7.65,Portugal
74079,60,New Product,Food,Empty Packaging,2017-08-21 15:03:22,3.99,7.15,Portugal
74079,61,Variety,Food,Empty Packaging,2017-08-21 15:03:22,3.99,3.75,Portugal
74079,62,New Product,Food,Empty Packaging,2017-08-21 15:03:22,1.69,9.45,Portugal
74079,63,Variety,Food,Empty Packaging,2017-08-21 15:03:22,1.69,6.05,Portugal
74079,64,New Product,Food,Empty Packaging,2017-08-21 15:03:22,2.39,8.75,Portugal
74079,65,New Product,Healthcare,Shipped Full,2017-08-21 15:03:22,14.99,-3.85,Portugal
74079,66,New Product,Healthcare,Shipped Full,2017-08-21 15:03:22,4.09,7.05,Portugal
74079,67,New Product,Healthcare,Shipped Full,2017-08-21 15:03:22,5.99,5.15,Portugal
74079,68,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,11.99,-0.85,Portugal
74079,69,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,7.99,3.15,Portugal
74079,70,New Product,Healthcare,Shipped Full,2017-08-21 15:03:22,16.99,-5.85,Portugal
74079,71,New Product,Healthcare,Shipped Full,2017-08-21 15:03:22,13.99,-2.85,Portugal
73804,1,New Product,Food,Shipped Full,2017-08-11 07:29:40,2.00,9.14,Spain
73804,2,New Product,Food,Shipped Full,2017-08-11 07:29:40,5.49,5.65,Spain
73804,3,New Product,Food,Shipped Full,2017-08-11 07:29:40,2.48,8.66,Spain
73804,4,New Product,Food,Shipped Full,2017-08-11 07:29:40,2.25,8.89,Spain
73804,5,Variety,Food,Shipped Full,2017-08-11 07:29:40,2.35,5.39,Spain
73804,6,New Product,Food,Shipped Full,2017-08-11 07:29:40,1.39,9.75,Spain
73804,7,Variety,Food,Shipped Full,2017-08-11 07:29:40,1.39,6.35,Spain
73804,8,New Product,Drink,Shipped Full,2017-08-11 07:29:40,1.20,9.94,Spain
73804,9,New Product,Pet,Shipped Full,2017-08-11 07:29:40,1.56,9.58,Spain
73804,10,New Product,Drink,Shipped Full,2017-08-11 07:29:40,0.76,10.38,Spain
73804,11,Variety,Pet,Shipped Full,2017-08-11 07:29:40,1.56,6.18,Spain
73804,12,Variety,Drink,Shipped Full,2017-08-11 07:29:40,0.76,6.98,Spain
73804,13,New Product,Drink,Shipped Full,2017-08-11 07:29:40,5.97,5.17,Spain
73804,14,Variety,Pet,Shipped Full,2017-08-11 07:29:40,1.56,6.18,Spain
73804,15,New Product,Drink,Shipped Full,2017-08-11 07:29:40,1.50,9.64,Spain
73804,16,New Product,Drink,Shipped Full,2017-08-11 07:29:40,2.20,8.94,Spain
73804,17,New Product,Drink,Shipped Full,2017-08-11 07:29:40,1.50,9.64,Spain
73804,18,New Product,Pet,Shipped Full,2017-08-11 07:29:40,5.24,5.90,Spain
73804,19,Variety,Drink,Shipped Full,2017-08-11 07:29:40,4.99,2.75,Spain
73804,20,New Product,Drink,Shipped Full,2017-08-11 07:29:40,1.40,9.74,Spain
73804,21,New Product,Drink,Shipped Full,2017-08-11 07:29:40,1.50,9.64,Spain
73804,22,New Product,Pet,Shipped Full,2017-08-11 07:29:40,1.19,9.95,Spain
73804,23,New Product,Food,Shipped Full,2017-08-11 07:29:40,1.65,9.49,Spain
73804,24,New Product,Food,Shipped Full,2017-08-11 07:29:40,1.49,9.65,Spain
73804,25,New Product,Food,Shipped Full,2017-08-11 07:29:40,1.39,9.75,Spain
73804,26,New Product,Food,Shipped Full,2017-08-11 07:29:40,3.50,7.64,Spain
73804,27,New Product,Food,Shipped Full,2017-08-11 07:29:40,2.99,8.15,Spain
73804,28,New Product,Food,Shipped Full,2017-08-11 07:29:40,3.90,7.24,Spain
73804,29,New Product,Food,Shipped Full,2017-08-11 07:29:40,3.79,7.35,Spain
73804,30,Variety,Food,Shipped Full,2017-08-11 07:29:40,3.79,3.95,Spain
73804,31,New Product,Food,Shipped Full,2017-08-11 07:29:40,2.95,8.19,Spain
73804,32,Variety,Food,Shipped Full,2017-08-11 07:29:40,2.95,4.79,Spain
73804,33,New Product,Food,Shipped Full,2017-08-11 07:29:40,2.95,8.19,Spain
73804,34,New Product,Food,Shipped Full,2017-08-11 07:29:40,4.75,6.39,Spain
73804,35,New Product,Food,Shipped Full,2017-08-11 07:29:40,2.79,8.35,Spain
73804,36,New Product,Drink,Shipped Full,2017-08-11 07:29:40,9.00,2.14,Spain
73804,37,New Product,Food,Shipped Full,2017-08-11 07:29:40,1.80,9.34,Spain
73804,38,New Product,Food,Shipped Full,2017-08-11 07:29:40,5.35,5.79,Spain
73804,39,New Product,Food,Shipped Full,2017-08-11 07:29:40,3.90,7.24,Spain
73804,40,New Product,Drink,Shipped Full,2017-08-11 07:29:40,6.85,4.29,Spain
73804,41,New Product,Food,Shipped Full,2017-08-11 07:29:40,1.95,9.19,Spain
73804,42,New Product,Drink,Empty Packaging,2017-08-11 07:29:40,1.29,9.85,Spain
73804,43,New Product,Food,Shipped Full,2017-08-11 07:29:40,2.49,8.65,Spain
73804,44,New Product,Healthcare,Shipped Full,2017-08-11 07:29:40,19.35,-8.21,Spain
73804,45,New Product,Healthcare,Shipped Full,2017-08-11 07:29:40,15.30,-4.16,Spain
73804,46,New Product,Healthcare,Shipped Full,2017-08-11 07:29:40,2.85,8.29,Spain
73804,47,New Product,Healthcare,Shipped Full,2017-08-11 07:29:40,11.75,-0.61,Spain
73804,48,New Product,Healthcare,Shipped Full,2017-08-11 07:29:40,11.70,-0.56,Spain
73804,49,New Product,Healthcare,Shipped Full,2017-08-11 07:29:40,7.10,4.04,Spain
73804,50,New Product,Healthcare,Shipped Full,2017-08-11 07:29:40,10.45,0.69,Spain
73804,51,Variety,Food,Shipped Full,2017-08-11 07:29:40,4.75,2.99,Spain
73804,52,New Product,Food,Shipped Full,2017-08-11 07:29:40,1.85,9.29,Spain
73804,53,Variety,Food,Shipped Full,2017-08-11 07:29:40,2.95,4.79,Spain
73804,54,New Product,Food,Shipped Full,2017-08-11 07:29:40,2.15,8.99,Spain
74192,1,New Product,Food,Empty Packaging,2017-08-17 23:08:55,1.29,9.85,Spain
74192,2,New Product,Beauty & Personal Care,Shipped Full,2017-08-17 23:08:55,19.05,-7.91,Spain
74192,3,New Product,Beauty & Personal Care,Shipped Full,2017-08-17 23:08:55,10.50,0.64,Spain
74192,4,New Product,Beauty & Personal Care,Shipped Full,2017-08-17 23:08:55,10.50,0.64,Spain
74192,5,New Product,Beauty & Personal Care,Shipped Full,2017-08-17 23:08:55,10.50,0.64,Spain
74192,6,New Product,Beauty & Personal Care,Shipped Full,2017-08-17 23:08:55,17.60,-6.46,Spain
74192,7,New Product,Beauty & Personal Care,Shipped Full,2017-08-17 23:08:55,15.30,-4.16,Spain
74192,8,New Product,Beauty & Personal Care,Shipped Full,2017-08-17 23:08:55,17.50,-6.36,Spain
74192,9,New Product,Beauty & Personal Care,Shipped Full,2017-08-17 23:08:55,11.40,-0.26,Spain
74192,10,New Product,Beauty & Personal Care,Not Shipped,2017-08-17 23:08:55,16.50,-5.36,Spain
74192,11,New Product,Healthcare,Shipped Full,2017-08-17 23:08:55,19.20,-8.06,Spain
74192,12,New Product,Healthcare,Shipped Full,2017-08-17 23:08:55,8.40,2.74,Spain
74192,13,New Product,Healthcare,Shipped Full,2017-08-17 23:08:55,13.45,-2.31,Spain
74192,14,New Product,Food,Shipped Full,2017-08-17 23:08:55,2.11,9.03,Spain
74192,15,Variety,Food,Shipped Full,2017-08-17 23:08:55,2.11,5.63,Spain
74192,16,New Product,Food,Shipped Full,2017-08-17 23:08:55,1.40,9.74,Spain
74192,17,Variety,Food,Shipped Full,2017-08-17 23:08:55,1.30,6.44,Spain
74192,18,New Product,Food,Shipped Full,2017-08-17 23:08:55,1.95,9.19,Spain
74192,19,Variety,Food,Shipped Full,2017-08-17 23:08:55,1.95,5.79,Spain
74192,20,New Product,Food,Shipped Full,2017-08-17 23:08:55,3.88,7.26,Spain
74192,21,New Product,Food,Shipped Full,2017-08-17 23:08:55,2.99,8.15,Spain
74192,22,New Product,Drink,Shipped Full,2017-08-17 23:08:55,1.95,9.19,Spain
74192,23,New Product,Drink,Shipped Full,2017-08-17 23:08:55,1.95,9.19,Spain
74192,24,New Product,Drink,Shipped Full,2017-08-17 23:08:55,2.99,8.15,Spain
74192,25,Variety,Drink,Shipped Full,2017-08-17 23:08:55,3.89,3.85,Spain
74192,26,Variety,Drink,Shipped Full,2017-08-17 23:08:55,3.89,3.85,Spain
74192,27,New Product,Drink,Empty Packaging,2017-08-17 23:08:55,0.99,10.15,Spain
74192,28,Variety,Food,Shipped Full,2017-08-17 23:08:55,2.99,4.75,Spain
74192,29,New Product,Drink,Shipped Full,2017-08-17 23:08:55,1.55,9.59,Spain
74192,30,New Product,Drink,Shipped Full,2017-08-17 23:08:55,1.08,10.06,Spain
74192,31,Variety,Drink,Shipped Full,2017-08-17 23:08:55,1.08,6.66,Spain
74192,32,Variety,Drink,Shipped Full,2017-08-17 23:08:55,1.08,6.66,Spain
74192,33,Variety,Drink,Shipped Full,2017-08-17 23:08:55,1.08,6.66,Spain
74192,34,Variety,Drink,Shipped Full,2017-08-17 23:08:55,1.08,6.66,Spain
74192,35,New Product,Drink,Shipped Full,2017-08-17 23:08:55,2.80,8.34,Spain
74192,36,Variety,Drink,Shipped Full,2017-08-17 23:08:55,2.80,4.94,Spain
74192,37,New Product,Food,Shipped Full,2017-08-17 23:08:55,1.79,9.35,Spain
74192,38,Variety,Food,Shipped Full,2017-08-17 23:08:55,1.79,5.95,Spain
74192,39,Variety,Food,Shipped Full,2017-08-17 23:08:55,1.79,5.95,Spain
74192,40,Variety,Food,Empty Packaging,2017-08-17 23:08:55,3.58,4.16,Spain
74192,41,Variety,Food,Empty Packaging,2017-08-17 23:08:55,3.58,4.16,Spain
74192,42,New Product,Food,Empty Packaging,2017-08-17 23:08:55,2.95,8.19,Spain
74192,43,New Product,Food,Shipped Full,2017-08-17 23:08:55,4.99,6.15,Spain
74192,44,Variety,Food,Shipped Full,2017-08-17 23:08:55,5.50,2.24,Spain
74192,45,New Product,Drink,Empty Packaging,2017-08-17 23:08:55,1.52,9.62,Spain
74192,46,New Product,Food,Empty Packaging,2017-08-17 23:08:55,1.55,9.59,Spain
74192,47,Variety,Food,Empty Packaging,2017-08-17 23:08:55,1.29,6.45,Spain
74192,48,New Product,Food,Shipped Full,2017-08-17 23:08:55,1.49,9.65,Spain
74192,49,New Product,Food,Shipped Full,2017-08-17 23:08:55,1.49,9.65,Spain
74192,50,Variety,Food,Shipped Full,2017-08-17 23:08:55,1.49,6.25,Spain
74192,51,Variety,Food,Shipped Full,2017-08-17 23:08:55,1.49,6.25,Spain
74192,52,New Product,Food,Shipped Full,2017-08-17 23:08:55,1.49,9.65,Spain
74192,53,New Product,Food,Shipped Full,2017-08-17 23:08:55,1.85,9.29,Spain
74192,54,New Product,Pet,Empty Packaging,2017-08-17 23:08:55,12.95,-1.81,Spain
74192,55,Variety,Food,Shipped Full,2017-08-17 23:08:55,1.85,5.89,Spain
74192,56,New Product,Food,Shipped Full,2017-08-17 23:08:55,3.70,7.44,Spain
74192,57,Variety,Pet,Empty Packaging,2017-08-17 23:08:55,12.95,-5.21,Spain
74192,58,New Product,Food,Shipped Full,2017-08-17 23:08:55,4.60,6.54,Spain
74192,59,New Product,Food,Not Shipped,2017-08-17 23:08:55,4.99,6.15,Spain
74192,60,New Product,Food,Shipped Full,2017-08-17 23:08:55,1.85,9.29,Spain
74192,61,New Product,Food,Shipped Full,2017-08-17 23:08:55,3.49,7.65,Spain
74192,62,Variety,Food,Shipped Full,2017-08-17 23:08:55,3.49,4.25,Spain
74192,63,New Product,Food,Shipped Full,2017-08-17 23:08:55,1.58,9.56,Spain
74192,64,Variety,Food,Shipped Full,2017-08-17 23:08:55,1.58,6.16,Spain
74192,65,Variety,Food,Shipped Full,2017-08-17 23:08:55,1.75,5.99,Spain
74192,66,New Product,Pet,Shipped Full,2017-08-17 23:08:55,1.99,9.15,Spain
74192,67,Variety,Pet,Shipped Full,2017-08-17 23:08:55,1.99,5.75,Spain
74384,1,New Product,Drink,Shipped Full,2017-08-24 21:05:33,1.79,9.35,Spain
74384,2,Variety,Drink,Shipped Full,2017-08-24 21:05:33,1.79,5.95,Spain
74384,3,Variety,Drink,Shipped Full,2017-08-24 21:05:33,1.79,5.95,Spain
